        User_SteamID  Match Count
0  76561198158189084            9
1  76561198268849559           12


    Match_ID       User_SteamID       Start         End  Round Count          Map  Kills  Assists  Deaths  Score  Rating1    HSR    MDC   KPR   KAS    KDR    KDA    MEAN  CT_HSR  CT_MDC  CT_KPR  CT_KAS  CT_KDR  CT_KDA  CT_MEAN  T_HSR  T_MDC  T_KPR  T_KAS  T_KDR  T_KDA  T_MEAN
0          1  76561198158189084  1530749022  1530751490           30     de_train     17        6      22     43     0.80  0.471  0.093  0.57  63.0  0.773  1.045  4092.0   0.500   0.197    0.67    67.0   0.773   1.045   4337.0  0.429 -0.122   0.47   60.0  0.583  1.000  3847.0
1          2  76561198158189084  1530824960  1530827310           28     de_cache     19        7      19     53     0.92  0.211  0.151  0.68  75.0  1.000  1.368  4220.0   0.286  -0.241    0.47    60.0   0.538   0.846   2927.0  0.167  0.094   0.92   92.0  1.000  1.368  5712.0
2          3  76561198158189084  1530858399  1530860473           22  de_overpass     19        4      13     45     1.26  0.368  0.310  0.86  68.0  1.462  1.769  3934.0   0.286   0.385    1.00    71.0   1.462   1.769   3329.0  0.417  0.333   0.80   67.0  1.714  1.857  4217.0
3          4  76561198268849559  1530904432  1530907202           30  de_overpass     29        4      19     70     1.56  0.414 -0.031  0.97  77.0  1.526  1.737  4325.0   0.500  -0.153    0.80    80.0   1.333   1.444   4613.0  0.353  0.131   1.13   80.0  1.526  1.737  4037.0
4          5  76561198268849559  1530910847  1530913454           30     de_train     35        4      15     85     1.80  0.371 -0.007  1.17  77.0  2.333  2.600  4930.0   0.316   0.041    1.27    80.0   2.375   2.875   5197.0  0.438 -0.092   1.07   73.0  2.333  2.600  4663.0
5          6  76561198268849559  1530914424  1530917006           29    de_mirage     21        4      22     47     1.06  0.286  0.505  0.72  52.0  0.955  1.136  3781.0   0.083   0.359    0.80    53.0   1.091   1.364   3877.0  0.556  0.740   0.64   57.0  0.955  1.136  3679.0
6          7  76561198158189084  1530937745  1530940311           28  de_overpass     21        2      19     52     1.04  0.100  0.202  0.71  54.0  1.105  1.211  4177.0   0.143   0.283    0.54    54.0   1.105   1.211   3919.0  0.077  0.078   0.87   60.0  1.625  1.750  4400.0
7          8  76561198268849559  1530993649  1530995988           21     de_cbble     31        4      12     68     2.26  0.355  0.366  1.48  76.0  2.583  2.917  4745.0   0.294   0.511    1.31    62.0   2.429   2.714   5219.0  0.429  0.236   1.75  100.0  2.583  2.917  3975.0
8          9  76561198268849559  1530996277  1530997496           17     de_train     24        2       8     53     2.25  0.375  0.491  1.41  88.0  3.000  3.250  5026.0   0.375   0.332    1.60   100.0   4.000   4.333   5413.0  0.000  0.000   0.00   50.0  3.000  3.250  2125.0
9         10  76561198268849559  1531033426  1531034786           18  de_overpass     19        1       6     39     1.85  0.368 -0.255  1.06  94.0  3.167  3.333  5142.0   0.375  -0.322    1.07   100.0   3.200   3.200   5603.0  0.333 -0.317   1.00   67.0  3.167  3.333  2833.0
10        11  76561198268849559  1531115280  1531116880           23     de_cache     21        4      12     52     1.46  0.429  0.178  0.91  70.0  1.750  2.083  4557.0   0.429   0.187    0.93    67.0   1.556   1.889   4463.0  0.429  0.169   0.88   75.0  2.333  2.667  4731.0
11        12  76561198158189084  1531182198  1531185115           30  de_overpass     31        4      20     80     1.42  0.323  0.376  1.03  80.0  1.550  1.750  4312.0   0.286   0.534    0.93    73.0   1.167   1.250   3753.0  0.353  0.146   1.13   87.0  2.125  2.500  4870.0
12        13  76561198268849559  1531193773  1531196760           29  de_overpass     30        2      19     67     1.44  0.300  0.023  1.03  79.0  1.579  1.684  4652.0   0.222  -0.137    1.20    93.0   1.800   1.900   4727.0  0.417  0.210   0.86   64.0  1.333  1.444  4571.0
13        14  76561198268849559  1531197100  1531199903           29   de_inferno     35        4      18     78     1.78  0.441  0.095  1.17  79.0  1.944  2.167  4286.0   0.412   0.073    1.13    87.0   2.429   2.714   4593.0  0.471  0.140   1.21   71.0  1.636  1.818  3957.0
